date,volume,inflow
1998-04-01,137.0339,1289.0486
1998-05-01,137.778,1243.6253
1998-06-01,136.1544,1392.4192
1998-07-01,131.2252,1299.5573
1998-08-01,130.2517,1212.0248
1998-09-01,133.3001,1366.9622
1998-10-01,134.6839,1295.8085
1998-11-01,135.7062,1193.2557
1998-12-01,143.0775,1302.4565
1999-01-01,137.5139,1166.5466
1999-02-01,142.0508,1089.2174
1999-03-01,147.8696,1566.1389
1999-04-01,150.2907,1398.6156
1999-05-01,151.226,1188.2791
1999-06-01,151.8227,1324.8691
1999-07-01,152.5389,1196.5283
1999-08-01,147.4243,1226.9216
1999-09-01,152.2592,1225.1219
1999-10-01,152.4877,1106.8953
1999-11-01,153.4651,1177.1359
1999-12-01,160.2508,1220.4022
2000-01-01,152.001,1069.0414
2000-02-01,154.824,1166.2417
2000-03-01,164.1014,1574.8488
2000-04-01,169.9067,1426.5816
2000-05-01,165.0824,1381.208
2000-06-01,164.8741,1420.6056
2000-07-01,160.3165,1267.8003
2000-08-01,156.0433,1411.5226
2000-09-01,164.6374,1396.7547
2000-10-01,155.4236,1374.5497
2000-11-01,159.0168,1216.1737
2000-12-01,165.3709,1305.314
2001-01-01,159.2677,1001.9572
2001-02-01,161.3299,1024.7877
2001-03-01,175.8858,1370.0979
2001-04-01,182.0023,1301.9205
2001-05-01,175.668,1278.5278
2001-06-01,179.9353,1178.8842
2001-07-01,173.8438,1164.6064
2001-08-01,172.6543,1140.4781
2001-09-01,182.3571,1089.4199
2001-10-01,176.2199,1170.7765
2001-11-01,182.4457,1143.5906
2001-12-01,191.3557,1154.5094
2002-01-01,189.5466,1050.2881
2002-02-01,198.3635,1083.699
2002-03-01,237.3367,1378.7611
2002-04-01,242.6071,1144.0279
2002-05-01,238.796,1012.0634
2002-06-01,242.3137,951.6457
2002-07-01,236.4909,1017.0157
2002-08-01,236.6651,917.3003
2002-09-01,234.7869,1017.4563
2002-10-01,234.0942,1021.2545
2002-11-01,242.0972,885.7679
2002-12-01,244.3489,1032.591
2003-01-01,239.2528,874.2922
2003-02-01,241.8768,870.2366
2003-03-01,251.2077,1123.8354
2003-04-01,253.3717,999.5148
2003-05-01,253.653,954.0723
2003-06-01,252.2649,1023.7898
2003-07-01,248.8075,966.0674
2003-08-01,251.2994,890.2588
2003-09-01,251.4625,1060.4545
2003-10-01,247.3003,997.7156
2003-11-01,253.3274,843.6825
2003-12-01,256.4648,1076.5204
2004-01-01,253.1016,892.9525
2004-02-01,254.6819,892.5489
2004-03-01,263.8648,1267.1368
2004-04-01,263.5268,1131.2974
2004-05-01,260.5861,1007.6438
2004-06-01,263.3646,1103.1634
2004-07-01,263.4123,965.2524
2004-08-01,258.3405,1023.4769
2004-09-01,261.4145,1079.3633
2004-10-01,261.6645,953.5146
2004-11-01,261.8488,1030.3795
2004-12-01,267.4586,991.4381
2005-01-01,262.217,929.2926
2005-02-01,264.9908,864.9499
2005-03-01,275.7614,1214.4086
2005-04-01,278.7042,971.3715
2005-05-01,273.4713,947.3396
2005-06-01,275.4818,984.6664
2005-07-01,276.3807,871.7931
2005-08-01,272.798,982.9613
2005-09-01,277.6083,1032.2139
